number_of_lines,month,author,date,time_stamp,commit_details,year,revision
1,Aug,Jimmy,2015-08-04,14:04:25,Lint modification,2015,r1500664
1,Aug,Jimmy,2015-08-04,13:54:05,PHONE-363 - Updated notification icon,2015,r1500656
1,Aug,Thomas,2015-08-04,13:49:54,"PHONE-552: Phone 2.0 - ""About"" not implemented in settings.",2015,r1500654
1,Aug,Jimmy,2015-08-04,13:17:59,Build fix,2015,r1500629
1,Aug,Jimmy,2015-08-04,13:09:04,PHONE-613 - Removed tile,2015,r1500628
1,Aug,Thomas,2015-08-04,12:06:10,"PHONE-623: Phone 2.0 - ""Remove from Playlist"" pop up is displayed when user try to remove Photo or video from an album.",2015,r1500605
1,Aug,Thomas,2015-08-04,11:38:01,Removed unused UserChanged,2015,r1500577
1,Aug,Thomas,2015-08-04,11:32:33,Removed unused ContactsActivity,2015,r1500567
1,Aug,Jimmy,2015-08-04,11:20:26,PHONE-547 - Added rounded buttons accross the board,2015,r1500550
1,Aug,Thomas,2015-08-04,11:11:54,Removed unused,2015,r1500540
1,Aug,Thomas,2015-08-04,11:04:57,"Removed specific VZW provisioning_flow_enabled , contacts clean up and contacts history",2015,r1500536
1,Jul,Thomas,2015-07-31,14:45:12,Removed unused resources,2015,r1499589
1,Jul,Thomas,2015-07-31,14:38:41,Removed NAB QuotaManagement feature,2015,r1499580
1,Jul,Thomas,2015-07-31,14:02:01,"PHONE-578: ""/n"" showing up in string rather than text moving to new line",2015,r1499551
1,Jul,Thomas,2015-07-31,13:53:01,Removed Reliance specific login and download classes,2015,r1499540
1,Jul,Thomas,2015-07-31,13:13:05,Set mct.cloud.fallback to false,2015,r1499498
1,Jul,Thomas,2015-07-31,11:25:54,PHONE-418: Login errors need to be handled.,2015,r1499392
1,Jul,/OU=Domain Control Validated/CN=svn.company.net,2015-07-30,15:31:45,[gradle-release] prepare for next development iteration,2015,r1499015
1,Jul,Thomas,2015-07-30,15:01:09,"Put translatable=""false""",2015,r1498989
1,Jul,Thomas,2015-07-30,14:50:17,Updated icon.png,2015,r1498978
1,Jul,Thomas,2015-07-30,14:49:48,Fixing libpng warning: iCCP: Not recognizing known sRGB profile that has been edited,2015,r1498977
1,Jul,Thomas,2015-07-30,14:39:58,Added ignores UnusedResources,2015,r1498965
1,Jul,Thomas,2015-07-30,14:33:20,Removed unused strings,2015,r1498952
2,Jul,Thomas,2015-07-30,14:09:42,"Moved nab_account_type, dataclasses, dataclasses_extended_pcloud and dataclasses_extended_mct into configuration",2015,r1498934
1,Jul,/OU=Domain Control Validated/CN=svn.company.net,2015-07-30,10:43:33,[gradle-release] prepare for next development iteration,2015,r1498787
1,Jul,Thomas,2015-07-30,09:58:03,Changed release email subject,2015,r1498744
1,Jul,Thomas,2015-07-30,09:05:21,"PHONE-423: External web addresses for auth, upgrade and logout need to be retrieved from SNC.",2015,r1498709
1,Jul,Thomas,2015-07-29,14:46:30,Update prod values,2015,r1498319
1,Jul,Thomas,2015-07-29,14:20:59,Set up correct prod endpoints,2015,r1498300
1,Jul,Thomas,2015-07-29,10:06:55,PHONE-340: Phone 2.0 - PUSH Notification are not working - DEV / API,2015,r1498083
1,Jul,Thomas,2015-07-28,10:22:46,PHONE-491: Phone - Countly End Points,2015,r1497536
1,Jul,Thomas,2015-07-28,08:38:12,Set gap strategy to GAP_HANDLING_NONE,2015,r1497472
3,Jul,Nicky,2015-07-27,13:01:18,,2015,r1497063
1,Jul,Thomas,2015-07-27,10:10:44,PHONE-471: Phone - Shadow ro right of Logo,2015,r1496931
1,Jul,Thomas,2015-07-27,09:26:01,PHONE-478: PHONE 2.0 - Homescreen Timeline should be bolded,2015,r1496908
1,Jul,Thomas,2015-07-24,16:13:21,"Added QA Tested to the jira report, revert settings.gradle",2015,r1496519
1,Jul,Thomas,2015-07-24,16:00:58,Wrong commit,2015,r1496513
1,Jul,/OU=Domain Control Validated/CN=svn.company.net,2015-07-24,14:43:57,[gradle-release] prepare for next development iteration,2015,r1496435
1,Jul,Thomas,2015-07-24,11:49:13,Changed project jira key,2015,r1496285
1,Jul,Thomas,2015-07-24,11:27:05,"PHONE-397: Phone 2.0 - ""Content found"" notification does not pop up.",2015,r1496265
1,Jul,Thomas,2015-07-24,10:45:10,"PHONE-466: Phone 2.0 - ""MigrationInfo"" Text appears frequently went navigate to ""what to back up"".",2015,r1496231
1,Jul,Thomas,2015-07-24,09:43:16,"PHONE-434: PHONE 2.0 - Slide menu title is ""Personal Cloud""",2015,r1496204
1,Jul,Thomas,2015-07-24,09:37:34,PHONE-436: Phone - Disable TV Beaming,2015,r1496201
2,Jul,Thomas,2015-07-24,09:30:51,PHONE-464: Phone 2.0 - App Crashes when you navigate to Share tab.,2015,r1496198
1,Jul,Thomas,2015-07-23,16:09:42,Moved app recommendations icons into client,2015,r1495947
1,Jul,/OU=Domain Control Validated/CN=svn.company.net,2015-07-23,15:00:50,[gradle-release] prepare for next development iteration,2015,r1495875
1,Jul,Thomas,2015-07-23,14:32:43,Removed UnusedResources,2015,r1495841
1,Jul,Thomas,2015-07-23,14:21:42,Added lint ignore for UnusedResources,2015,r1495830
1,Jul,Thomas,2015-07-23,14:14:21,Removed unused resources and enabled UnusedResources lint rule,2015,r1495815
1,Jul,Dave,2015-07-23,09:37:01,merge in the latest changes from 15.2 to revision -r1495084,2015,r1495607
1,Jul,Thomas,2015-07-23,09:24:09,Removed v11 drawables,2015,r1495598
1,Jul,Thomas,2015-07-23,09:12:29,Revert deletion,2015,r1495589
1,Jul,Thomas,2015-07-23,08:48:05,Removed unused assets,2015,r1495583
1,Jul,Thomas,2015-07-23,08:44:05,Removed unused assets,2015,r1495579
1,Jul,Thomas,2015-07-22,16:15:58,Optimised assets,2015,r1495354
2,Jul,Nicky,2015-07-22,14:04:49,ATTLocker 2.0 - Failed to Re-auth,2015,r1495232
1,Jul,Thomas,2015-07-21,14:29:13,Remove wizard images,2015,r1494629
1,Jul,Jimmy,2015-07-21,13:09:10,Added migration info popup,2015,r1494572
1,Jul,Jimmy,2015-07-21,12:57:12,Added migration info popup,2015,r1494569
1,Jul,Jimmy,2015-07-21,11:54:34,Added String overload,2015,r1494523
1,Jul,Jimmy,2015-07-21,11:45:38,Added migration info parsing,2015,r1494517
1,Jul,Jimmy,2015-07-21,11:20:23,Added qa config,2015,r1494495
1,Jul,Jimmy,2015-07-20,12:08:48,PHONE-392,2015,r1494003
1,Jul,Jimmy,2015-07-17,13:54:22,Modified test case,2015,r1493570
1,Jul,Jimmy,2015-07-17,13:49:52,Updated migration classes,2015,r1493569
1,Jul,Jimmy,2015-07-17,13:28:41,Added migration class and tests,2015,r1493563
1,Jul,Jimmy,2015-07-17,13:27:38,Added migration class and tests,2015,r1493562
1,Jul,/OU=Domain Control Validated/CN=svn.company.net,2015-07-17,11:58:34,[gradle-release] prepare for next development iteration,2015,r1493503
1,Jul,Jimmy,2015-07-17,10:14:16,Added configuration for intro screen,2015,r1493417
1,Jul,Thomas,2015-07-17,08:39:34,Fixed release build.,2015,r1493381
2,Jul,Nicky,2015-07-16,19:32:25,Phone 2.0 - Device is not uploading or downloading.,2015,r1493269
1,Jul,Thomas,2015-07-16,16:48:08,Removed translatable flag,2015,r1493202
1,Jul,Jimmy,2015-07-16,14:47:09,PHONE-354,2015,r1493081
2,Jul,Alan,2015-07-16,14:37:37,"Phone 2.0 - ""Report Abusive Content"" is available.",2015,r1493067
1,Jul,Jimmy,2015-07-16,14:02:49,PHONE-348,2015,r1493044
1,Jul,Jimmy,2015-07-16,13:51:17,PHONE-348,2015,r1493036
1,Jul,Jimmy,2015-07-16,13:41:50,PHONE-348,2015,r1493028
2,Jul,Alan,2015-07-16,11:51:46,"Phone 2.0 - ""Invitations and Referrals"" tool is available.",2015,r1492956
2,Jul,Alan,2015-07-16,11:48:20,Phone 2.0 - Home Screen redsign is OFF,2015,r1492955
1,Jul,/OU=Domain Control Validated/CN=svn.company.net,2015-07-15,15:46:38,[gradle-release] prepare for next development iteration,2015,r1492513
1,Jul,Alan,2015-07-15,15:25:12,Phone Locker changes for 15.2 Branch,2015,r1492481
1,Jul,Jimmy,2015-07-15,15:08:50,Partial code cleanup,2015,r1492470
1,Jul,Jimmy,2015-07-15,15:02:58,Partial code cleanup,2015,r1492457
1,Jul,Jimmy,2015-07-15,15:00:04,Partial code cleanup,2015,r1492455
1,Jul,Jimmy,2015-07-15,14:04:56,Revved,2015,r1492414
1,Jul,Jimmy,2015-07-15,13:55:46,Added dev build variant,2015,r1492409
1,Jul,/OU=Domain Control Validated/CN=svn.company.net,2015-07-15,13:49:47,[gradle-release] prepare for next development iteration,2015,r1492405
1,Jul,Jimmy,2015-07-15,13:48:45,Modified mail template,2015,r1492402
1,Jul,Jimmy,2015-07-15,13:42:17,Prep for release,2015,r1492399
1,Jul,Jimmy,2015-07-15,13:30:01,Code cleanup,2015,r1492395
1,Jul,Jimmy,2015-07-15,11:55:03,Plan management,2015,r1492330
1,Jul,Jimmy,2015-07-15,11:33:28,Added boolean to upgrade,2015,r1492308
1,Jul,Jimmy,2015-07-14,14:56:43,Partial code cleanup,2015,r1491912
1,Jul,Jimmy,2015-07-14,14:40:44,Partial code cleanup,2015,r1491892
1,Jul,Jimmy,2015-07-14,14:18:59,Partial code cleanup,2015,r1491875
1,Jul,Jimmy,2015-07-14,14:06:22,Partial code clean,2015,r1491866
1,Jul,Jimmy,2015-07-14,13:49:51,Removed dead code,2015,r1491858
1,Jul,Jimmy,2015-07-14,13:42:45,modified chsettings content provider for at&t,2015,r1491856
1,Jul,Jimmy,2015-07-14,12:25:40,Authentication for locker,2015,r1491802
1,Jul,Thomas,2015-07-13,16:29:13,Removed Ril classes,2015,r1491445
1,Jul,Thomas,2015-07-13,16:22:25,Removed Ril classes,2015,r1491442
1,Jul,Thomas,2015-07-13,16:17:26,Correct url and tag name for branch tagging,2015,r1491435
1,Jul,Thomas,2015-07-13,16:12:14,Use 15.2.30.x versioning scheme for branch,2015,r1491428
1,Jul,Thomas,2015-07-13,16:08:55,Removed old TV functionality,2015,r1491425
1,Jul,Thomas,2015-07-13,16:03:32,Removed old TV functionality,2015,r1491421
1,Jul,Thomas,2015-07-13,16:00:35,Removed old TV functionality,2015,r1491420
1,Jul,Jimmy,2015-07-13,13:59:14,directed the auth callback to point at the AtpAuthActivity class,2015,r1491333
1,Jul,Jimmy,2015-07-13,13:48:50,Added application identifier to auth call,2015,r1491323
1,Jul,Jimmy,2015-07-13,13:06:21,Added web UI for auth,2015,r1491315
1,Jul,Thomas,2015-07-13,11:52:09,Added ignorance,2015,r1491272
1,Jul,Alan,2015-07-13,11:32:02,icon renamed as ic_launcher.png,2015,r1491254
1,Jul,Jimmy,2015-07-13,11:03:48,"Added configuration for web auth, plan management and logout",2015,r1491229
1,Jul,Thomas,2015-07-13,09:21:48,Rename folder,2015,r1491146
